CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-12-24 06:30:00,0.0,1697.0,0.0,20.0,725816000.0,55736000.0,22.0,43.0,35.0,17499561.93039087,15248154.021495087,29191.908520957357,20655.7419577002
2018-12-24 06:45:00,0.0,1708.0,0.0,23.0,725768000.0,55784000.0,22.0,43.0,35.0,18517660.681096498,16337812.624148065,30023.427668147404,21550.970501537784
2018-12-24 07:00:00,0.0,1723.0,0.0,22.0,730440000.0,51112000.0,22.0,43.0,35.0,22036679.25344524,19539362.17056887,33251.78391125689,24415.066186309676
2018-12-24 07:15:00,0.0,1757.0,0.0,19.0,725828000.0,55720000.0,22.0,43.0,35.0,24357569.614375774,22224365.984632522,36092.78036307043,27656.255565088748
2018-12-24 07:30:00,0.0,1786.0,0.0,26.0,725872000.0,55676000.0,22.0,43.0,35.166666666666664,28343336.100865554,25959206.693476766,40346.08239661841,32225.724703823078
2018-12-24 07:45:00,0.0,1813.0,0.0,20.0,725824000.0,55724000.0,22.0,43.0,35.166666666666664,34056747.74765383,30442949.089176334,47604.99973698354,36967.7057282996
2018-12-24 09:15:00,0.0,2097.0,0.0,28.0,725812000.0,55728000.0,22.0,44.0,35.666666666666664,57830427.266051956,53419868.11322588,75906.4757504617,63628.07369575807
2018-12-24 09:30:00,1.0,2188.0,0.0,29.0,725824000.0,55712000.0,22.0,44.0,35.666666666666664,65262510.08659475,60377167.80209819,84148.63125680553,72075.85050433587
2018-12-24 09:45:00,1.0,2330.0,2.0,33.0,725828000.0,55704000.0,22.0,44.0,35.666666666666664,68016960.08579847,63779572.19816552,89308.17731906142,77389.88430298874
2018-12-24 10:00:00,0.0,2455.0,0.0,35.0,725676000.0,55848000.0,22.0,44.0,35.666666666666664,84953533.08038552,80324367.0995095,108584.70825436703,96328.73464083383
2018-12-24 10:15:00,1.0,2583.0,0.0,39.0,725652000.0,55876000.0,22.0,44.0,35.666666666666664,94050838.77471066,88662858.2558111,119072.52682701968,106089.56542907214
2018-12-24 10:30:00,1.0,2715.0,2.0,34.0,725740000.0,55792000.0,22.0,44.0,35.833333333333336,104380343.64827488,98138381.88450643,132116.2272273564,117960.52205827541
2018-12-24 11:15:00,0.0,2997.0,1.0,35.0,725256000.0,56268000.0,22.0,44.0,36.0,124882103.54388882,117948529.82420681,156077.09419631265,142029.55339143233
2018-12-24 11:30:00,0.0,3061.0,0.0,36.0,725268000.0,56252000.0,22.0,44.0,35.833333333333336,135798293.22264948,128487114.77668878,168633.22679850517,153126.50492827533
2018-12-24 11:45:00,1.0,3089.0,0.0,57.0,729980000.0,51544000.0,22.0,44.0,36.0,132942710.8108478,125390352.13402733,166782.31443262886,150885.10369246246
2018-12-24 12:00:00,0.0,3233.0,2.0,38.0,725496000.0,56024000.0,22.0,44.0,36.0,139369760.54120582,131280804.73083149,174634.46118096597,158086.12058046015
2018-12-24 12:15:00,0.0,3245.0,2.0,35.0,730392000.0,51124000.0,22.0,44.0,36.0,142091804.89813393,134633611.66684073,177252.71130635135,161788.6679036034
2018-12-24 12:30:00,2.0,3249.0,1.0,39.0,725236000.0,56284000.0,22.0,44.0,36.0,137188380.4778302,130641300.35001647,170607.07069975827,158177.20409418305
2018-12-24 12:45:00,0.0,3225.0,1.0,36.0,725792000.0,55724000.0,22.0,44.0,35.833333333333336,144170027.6844501,137260503.66976276,178825.81469312008,165154.8535679669
2018-12-24 13:00:00,0.0,3221.0,0.0,42.0,725280000.0,56236000.0,22.0,45.0,36.166666666666664,147731485.00032485,140881723.5019104,182406.39579639665,169926.55271715784
2018-12-24 13:15:00,1.0,3204.0,0.0,38.0,730028000.0,51488000.0,22.0,44.0,36.0,139805117.63985345,132915269.38259348,173974.77009741956,161267.82464061
2018-12-24 13:30:00,0.0,3231.0,0.0,40.0,725296000.0,56220000.0,22.0,45.0,36.166666666666664,149731180.75119328,141244158.17892265,186585.57779348927,169909.8266993463
2018-12-24 13:45:00,0.0,3232.0,0.0,35.0,725280000.0,56236000.0,22.0,44.0,36.0,145898419.77213624,137909531.85652912,181682.92672912526,168064.50605138775
2018-12-24 14:00:00,0.0,3273.0,0.0,34.0,725304000.0,56208000.0,22.0,44.0,35.833333333333336,139906497.20402482,132953240.74016485,173767.35539780126,160973.46593564178
2018-12-24 14:15:00,0.0,3223.0,0.0,37.0,729784000.0,51732000.0,22.0,44.0,36.0,140030065.9435386,132112702.47423963,176181.60116575455,160153.59499050918
2018-12-24 14:30:00,0.0,3284.0,0.0,37.0,725028000.0,56488000.0,22.0,44.0,36.0,134423417.7701856,127060701.2268273,168971.12418189668,154173.88078352012
2018-12-24 14:45:00,4.0,3258.0,0.0,37.0,725068000.0,56444000.0,22.0,44.0,36.0,140171822.4167922,131636720.69788943,176718.91301572038,159571.75806024965
2018-12-24 15:00:00,0.0,3258.0,1.0,47.0,729796000.0,51704000.0,22.0,45.0,36.166666666666664,138997112.0003787,131519329.0391905,173854.45775766464,158101.21560166616
2018-12-24 15:15:00,1.0,3280.0,1.0,41.0,736692000.0,44784000.0,22.0,45.0,36.166666666666664,151510451.07283002,144288295.02509058,187112.02609942984,171377.94969899446
2018-12-24 15:30:00,0.0,3247.0,1.0,41.0,734612000.0,46868000.0,22.0,44.0,36.0,150301826.33433023,142492714.8186597,186948.33156820264,170922.19782075065
2018-12-24 15:45:00,0.0,3252.0,2.0,39.0,729884000.0,51576000.0,22.0,45.0,36.166666666666664,155232524.16474286,146944084.27392212,191179.1470431515,175048.48968649347
2018-12-24 16:00:00,1.0,3198.0,0.0,49.0,724644000.0,56860000.0,22.0,45.0,36.166666666666664,149920968.21739674,142613662.9395642,183415.96699588952,170145.08031222812
2018-12-24 16:15:00,0.0,3193.0,2.0,40.0,724680000.0,56824000.0,22.0,44.0,36.0,153796685.46164078,144899594.1048309,191605.138638687,174240.68223744235
2018-12-24 16:30:00,0.0,3245.0,0.0,38.0,724648000.0,56852000.0,22.0,45.0,36.166666666666664,160217231.0135438,151722971.95352274,197948.75418450544,181420.89702813549
